seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
13,6,CNN,train,0.14502031991879144,0.9570833333333333,,1.2314690221101046,
13,6,CNN,test,0.5204838752746582,0.8565,,0.0,0.5322343740463257
13,6,SNN,train,0.2579508137305578,0.9161666666666667,0.15826816340287528,3.9125903425738215,
13,6,SNN,test,0.9358484802246094,0.7215,0.15181660068035124,0.0,
13,7,ANN,train,0.26240989192326863,0.9238333333333333,,0.838848989456892,
13,7,ANN,test,0.7566273741722107,0.76,,0.0,0.30089062547683715
13,7,CNN,train,0.11206068885326385,0.9663333333333334,,1.2091126386076212,
13,7,CNN,test,0.5271340866088867,0.844,,0.0,0.5314375009536744
13,7,SNN,train,0.2162996379137039,0.9290833333333334,0.15651458358764647,3.7508474038913846,
13,7,SNN,test,0.9119182739257813,0.7275,0.14979394674301147,0.0,
13,8,ANN,train,0.23275351023674012,0.9313333333333333,,0.8211242435500026,
13,8,ANN,test,0.7298914370536804,0.773,,0.0,0.31128125023841857
13,8,CNN,train,0.09177030507723491,0.9741666666666666,,1.3650356475263834,
13,8,CNN,test,0.45263124799728394,0.877,,0.0,0.5470351572036743
13,8,SNN,train,0.18770252172152202,0.9356666666666666,0.15830621794859567,3.6201017098501325,
13,8,SNN,test,0.8767750821113587,0.7475,0.15359355294704438,0.0,
13,9,ANN,train,0.20465822531779607,0.9415833333333333,,0.8153190854936838,
13,9,ANN,test,0.7528847894668579,0.7675,,0.0,0.31917187523841856
13,9,CNN,train,0.06995167658726374,0.9811666666666666,,1.269233277067542,
13,9,CNN,test,0.5085679688453675,0.864,,0.0,0.5539960932731628
13,9,SNN,train,0.13131410358349482,0.9608333333333333,0.16024479166666666,3.5324475644156337,
13,9,SNN,test,0.8074151372909546,0.7945,0.152215234875679,0.0,
13,10,ANN,train,0.17968321243921917,0.9485833333333333,,0.825769729912281,
13,10,ANN,test,0.738338276386261,0.7755,,0.0,0.31952343797683713
13,10,CNN,train,0.05925777723888556,0.9834166666666667,,1.0619260612875223,
13,10,CNN,test,0.4939950499534607,0.868,,0.0,0.5623906245231628
13,10,SNN,train,0.09313316265741985,0.9738333333333333,0.15703932305177054,4.121683739125729,
13,10,SNN,test,0.7698169841766357,0.7825,0.1527123042345047,0.0,
13,11,ANN,train,0.15824327701330185,0.9586666666666667,,0.8866783641278744,
13,11,ANN,test,0.7323883013725281,0.779,,0.0,0.32488281273841857
13,11,CNN,train,0.046413457152744135,0.9875833333333334,,1.5708170337602496,
13,11,CNN,test,0.4799762773513794,0.884,,0.0,0.5547539072036743
13,11,SNN,train,0.07311098355054856,0.9800833333333333,0.16249215551217397,4.206530874595046,
13,11,SNN,test,0.7405069842338562,0.8115,0.15626894509792327,0.0,
13,12,ANN,train,0.14045351028442382,0.9645,,0.9560843966901302,
13,12,ANN,test,0.7060350160598755,0.7905,,0.0,0.3262734372615814
13,12,CNN,train,0.03395217354098956,0.99125,,1.425352725200355,
13,12,CNN,test,0.47830347061157225,0.8815,,0.0,0.5648515634536743
13,12,SNN,train,0.05683478495975335,0.9845,0.16049241542816162,3.9306422797963023,
13,12,SNN,test,0.7561958894729615,0.8055,0.15647070264816285,0.0,
13,13,ANN,train,0.12599335571130116,0.9669166666666666,,1.035183358937502,
13,13,ANN,test,0.7411677870750427,0.7905,,0.0,0.32453515625
13,13,CNN,train,0.030354065010945,0.9916666666666667,,1.4060654705390334,
13,13,CNN,test,0.48322221493721007,0.8865,,0.0,0.56372265625
13,13,SNN,train,0.05099512146910032,0.9866666666666667,0.16157877600193024,4.051721432246268,
