seed,epoch,model,split,loss,accuracy,hidden_spike_rate,train_time_s,sparsity
7,15,CNN,train,0.23343294656276703,0.9144166666666667,,1.97494338452816,
7,15,CNN,test,0.3565310740470886,0.867,,0.0,0.5423671875
7,15,SNN,train,0.32118465240796407,0.8823333333333333,0.19374462894598643,3.694119218736887,
7,15,SNN,test,0.4992920503616333,0.834,0.19891015660762787,0.0,
13,1,ANN,train,0.9278996262550354,0.7020833333333333,,0.8062933683395386,
13,1,ANN,test,0.6423684568405151,0.777,,0.0,0.2629140625
13,1,CNN,train,0.9863221577008565,0.6535833333333333,,1.307999799028039,
13,1,CNN,test,0.6292850656509399,0.7625,,0.0,0.4206679689884186
13,1,SNN,train,1.456010242621104,0.48491666666666666,0.15459046228726706,3.714354222640395,
13,1,SNN,test,0.8940302958488464,0.7345,0.15392226696014405,0.0,
13,2,ANN,train,0.558352059841156,0.8075833333333333,,0.8827521093189716,
13,2,ANN,test,0.5464523191452026,0.817,,0.0,0.25437500011920927
13,2,CNN,train,0.5361412737369537,0.7989166666666667,,1.1997865801677108,
13,2,CNN,test,0.5151301584243775,0.8095,,0.0,0.43598437547683716
13,2,SNN,train,0.6582132377624512,0.7771666666666667,0.1548780600229899,3.884256923571229,
13,2,SNN,test,0.5353855800628662,0.8105,0.15724785244464876,0.0,
13,3,ANN,train,0.49231553069750467,0.83075,,0.8185181925073266,
13,3,ANN,test,0.5166697611808777,0.816,,0.0,0.2597656248807907
13,3,CNN,train,0.45885281411806744,0.8326666666666667,,1.3863697834312916,
13,3,CNN,test,0.44685390424728394,0.837,,0.0,0.4482851564884186
13,3,SNN,train,0.5015475737253825,0.8183333333333334,0.15177200464407603,4.060873598791659,
13,3,SNN,test,0.5361954369544983,0.8245,0.14626875066757203,0.0,
13,4,ANN,train,0.4608391599655151,0.8391666666666666,,0.8128077872097492,
13,4,ANN,test,0.49344237804412844,0.8255,,0.0,0.27178125047683716
13,4,CNN,train,0.40780385247866313,0.8518333333333333,,1.2254266878589988,
13,4,CNN,test,0.41957036590576174,0.8455,,0.0,0.45362890625
13,4,SNN,train,0.45959503706296284,0.8351666666666666,0.14041295540332793,3.78660449385643,
13,4,SNN,test,0.5144064397811889,0.8055,0.1372419934272766,0.0,
13,5,ANN,train,0.4319833071231842,0.8525,,0.7907026903703809,
13,5,ANN,test,0.5029468660354615,0.827,,0.0,0.2811875002384186
13,5,CNN,train,0.38523430943489073,0.86075,,1.3481292314827442,
13,5,CNN,test,0.3884765474796295,0.8645,,0.0,0.46443750023841857
13,5,SNN,train,0.4355848437945048,0.8408333333333333,0.13802851589520773,23.936037025414407,
13,5,SNN,test,0.49561512184143064,0.8215,0.13562929677963256,0.0,
13,6,ANN,train,0.4188584674199422,0.8555,,0.8016460239887238,
13,6,ANN,test,0.47378867816925047,0.8345,,0.0,0.2838671870231628
13,6,CNN,train,0.3526308952172597,0.8704166666666666,,1.1555547304451466,
13,6,CNN,test,0.4014056029319763,0.858,,0.0,0.45782031273841856
13,6,SNN,train,0.40813233017921446,0.85125,0.13646520141760507,3.580197548493743,
13,6,SNN,test,0.48601242613792417,0.83,0.13546406316757204,0.0,
13,7,ANN,train,0.39817222889264425,0.8626666666666667,,0.945485619828105,
13,7,ANN,test,0.4581105051040649,0.844,,0.0,0.28868359422683715
13,7,CNN,train,0.34138438431421914,0.877,,1.1451161988079548,
13,7,CNN,test,0.39902799439430237,0.849,,0.0,0.47626953148841855
13,7,SNN,train,0.38785239736239113,0.85925,0.13675126957893372,3.6718956604599953,
13,7,SNN,test,0.5248466567993164,0.8045,0.14179570376873016,0.0,
13,8,ANN,train,0.3844794028600057,0.8640833333333333,,0.9329095277935266,
13,8,ANN,test,0.48772477293014527,0.829,,0.0,0.2998945314884186
13,8,CNN,train,0.3224902914762497,0.8824166666666666,,1.111442263238132,
13,8,CNN,test,0.3911941657066345,0.857,,0.0,0.4820937497615814
13,8,SNN,train,0.3790333001613617,0.8614166666666667,0.13489388012886047,3.599821594543755,
13,8,SNN,test,0.4531963195800781,0.8515,0.13539511609077454,0.0,
13,9,ANN,train,0.3644958404699961,0.87375,,1.1034310068935156,
13,9,ANN,test,0.4435596876144409,0.844,,0.0,0.29643359398841856
13,9,CNN,train,0.3148939849535624,0.8845833333333334,,1.1078786328434944,
13,9,CNN,test,0.3759668595790863,0.867,,0.0,0.4753671877384186
13,9,SNN,train,0.35780644591649374,0.86925,0.13568261774381002,3.9554193122312427,
13,9,SNN,test,0.44307917952537534,0.8395,0.13929863488674163,0.0,
13,10,ANN,train,0.36042224216461183,0.871,,1.212583016604185,
13,10,ANN,test,0.4449195990562439,0.848,,0.0,0.30456640625
13,10,CNN,train,0.2958548328479131,0.8941666666666667,,1.1772385286167264,
13,10,CNN,test,0.359082537651062,0.872,,0.0,0.49185156297683713
13,10,SNN,train,0.34728485226631167,0.8713333333333333,0.1387054682970047,3.5822450751438737,
13,10,SNN,test,0.4640247902870178,0.8375,0.14088945245742798,0.0,
13,11,ANN,train,0.3408783190250397,0.8796666666666667,,0.9758002227172256,
13,11,ANN,test,0.4433072500228882,0.844,,0.0,0.30869140625
13,11,CNN,train,0.28418136994043985,0.8960833333333333,,1.091774226166308,
13,11,CNN,test,0.3650699219703674,0.87,,0.0,0.47577343773841857
13,11,SNN,train,0.34495669265588125,0.8735,0.14238069653511048,3.592684581875801,
13,11,SNN,test,0.4363664422035217,0.854,0.14675136816501616,0.0,
13,12,ANN,train,0.331500039656957,0.8821666666666667,,0.9511576313525438,
13,12,ANN,test,0.42778467559814454,0.855,,0.0,0.3167578122615814
13,12,CNN,train,0.2777500952879588,0.8953333333333333,,1.138970360159874,
13,12,CNN,test,0.3602142097949982,0.8775,,0.0,0.4981328127384186
13,12,SNN,train,0.3358981534639994,0.87375,0.14724153578281401,3.7036243034526706,
13,12,SNN,test,0.46313635683059695,0.84,0.15025546956062316,0.0,
13,13,ANN,train,0.3282363845507304,0.88325,,0.8391152508556843,
13,13,ANN,test,0.44536748552322386,0.85,,0.0,0.3193789060115814
13,13,CNN,train,0.27089091352621714,0.89925,,1.5714100422337651,
13,13,CNN,test,0.3476262409687042,0.881,,0.0,0.5066328129768372
13,13,SNN,train,0.32925856256484987,0.8760833333333333,0.14844244746367136,3.6714761331677437,
13,13,SNN,test,0.44963628029823305,0.8465,0.14471211087703706,0.0,
13,14,ANN,train,0.3210978128910065,0.886,,0.933988462202251,
13,14,ANN,test,0.4339300141334534,0.85,,0.0,0.32603515577316283
13,14,CNN,train,0.25651622279485065,0.906,,1.1046317126601934,
13,14,CNN,test,0.34747617268562314,0.883,,0.0,0.49517968702316284
13,14,SNN,train,0.32048698512713114,0.8801666666666667,0.1476521155834198,4.1741955149918795,
13,14,SNN,test,0.4788248586654663,0.836,0.15125722646713258,0.0,
13,15,ANN,train,0.30420765693982443,0.8920833333333333,,0.9661151440814137,
13,15,ANN,test,0.42850671243667604,0.856,,0.0,0.3307343747615814
13,15,CNN,train,0.24740209253629047,0.9099166666666667,,1.4890579544007778,
13,15,CNN,test,0.34260329031944275,0.8845,,0.0,0.49387109422683717
13,15,SNN,train,0.3137064106464386,0.8833333333333333,0.14958941992123923,4.611899185925722,
13,15,SNN,test,0.46869010496139524,0.8365,0.14711621153354645,0.0,
42,1,ANN,train,0.9429245441754659,0.68,,1.190880642272532,
42,1,ANN,test,0.6252238659858703,0.775,,0.0,0.2921640622615814
42,1,CNN,train,1.0244234507878622,0.6455833333333333,,1.3269546022638679,
42,1,CNN,test,0.681600962638855,0.748,,0.0,0.5476835947036743
42,1,SNN,train,1.7299174547195435,0.3893333333333333,0.1822483723560969,3.6745399897918105,
42,1,SNN,test,1.2411443309783936,0.6225,0.19573886680603028,0.0,
42,2,ANN,train,0.5710291729768118,0.8029166666666666,,0.7832477260380983,
42,2,ANN,test,0.538995192527771,0.8095,,0.0,0.29251562523841856
42,2,CNN,train,0.5813106390635172,0.7815,,1.221619331277907,
42,2,CNN,test,0.550112778186798,0.786,,0.0,0.5642382822036743
42,2,SNN,train,0.8902742635409038,0.73575,0.2042204428513845,3.5719721410423517,
42,2,SNN,test,0.7623560581207275,0.7955,0.20575878858566285,0.0,
42,3,ANN,train,0.49896285724639894,0.82525,,0.7856920110061765,
42,3,ANN,test,0.5080487692356109,0.8125,,0.0,0.30542187476158145
42,3,CNN,train,0.492869265238444,0.8179166666666666,,1.2212850376963615,
42,3,CNN,test,0.48249626517295835,0.8155,,0.0,0.5687460942268372
42,3,SNN,train,0.5396465296745301,0.81175,0.20535706329345704,3.5633825324475765,
42,3,SNN,test,0.5278202018737793,0.809,0.20341211116313934,0.0,
42,4,ANN,train,0.4759972533384959,0.8323333333333334,,0.8114272151142359,
42,4,ANN,test,0.47244105172157286,0.8325,,0.0,0.31759374976158145
42,4,CNN,train,0.44198739536603293,0.8393333333333334,,1.1802437482401729,
42,4,CNN,test,0.44140292739868164,0.8385,,0.0,0.5677656254768372
42,4,SNN,train,0.4680484572251638,0.8270833333333333,0.20939990337689718,4.384675595909357,
42,4,SNN,test,0.5297547578811646,0.818,0.20684257817268373,0.0,
42,5,ANN,train,0.43542920716603595,0.8491666666666666,,0.8548542894423008,
42,5,ANN,test,0.46215087890625,0.839,,0.0,0.3184531254768372
42,5,CNN,train,0.4113524286746979,0.8495,,1.2607872020453215,
42,5,CNN,test,0.4081850345134735,0.8485,,0.0,0.5729062490463257
42,5,SNN,train,0.4348749098777771,0.8408333333333333,0.2054716470638911,3.738785568624735,
42,5,SNN,test,0.48119267225265505,0.8285,0.20640859436988832,0.0,
42,6,ANN,train,0.4113996867338816,0.8560833333333333,,0.8570491941645741,
42,6,ANN,test,0.45961436319351195,0.834,,0.0,0.3197695314884186
42,6,CNN,train,0.3715513598918915,0.8648333333333333,,1.2743165753781796,
42,6,CNN,test,0.3983445475101471,0.853,,0.0,0.5674882807731628
42,6,SNN,train,0.4226654334068298,0.85,0.21474736253420512,3.5771030178293586,
42,6,SNN,test,0.4725011863708496,0.835,0.22329101693630218,0.0,
42,7,ANN,train,0.3978731495539347,0.85975,,0.8905655676499009,
42,7,ANN,test,0.4377990844249725,0.8435,,0.0,0.33412109375
42,7,CNN,train,0.35563372349739075,0.8700833333333333,,1.1176224704831839,
42,7,CNN,test,0.37906319761276247,0.8615,,0.0,0.5755429677963256
42,7,SNN,train,0.3963571621576945,0.8521666666666666,0.21246471373240153,3.7965552508831024,
42,7,SNN,test,0.49348214197158813,0.8225,0.21466015684604645,0.0,
42,8,ANN,train,0.3772149440447489,0.8678333333333333,,0.8412782568484545,
42,8,ANN,test,0.4390412254333496,0.8415,,0.0,0.3301054689884186
42,8,CNN,train,0.33482367849349975,0.8776666666666667,,1.1244404707103968,
42,8,CNN,test,0.3799360876083374,0.858,,0.0,0.5788242182731629
42,8,SNN,train,0.37905973943074545,0.862,0.2093234697977702,3.8289313847199082,
42,8,SNN,test,0.4582011137008667,0.833,0.2112775387763977,0.0,
42,9,ANN,train,0.3671038247744242,0.8685833333333334,,0.8514990005642176,
42,9,ANN,test,0.4213078808784485,0.85,,0.0,0.33728906202316283
42,9,CNN,train,0.3199277760187785,0.8835,,1.1263203984126449,
42,9,CNN,test,0.37629215264320376,0.8535,,0.0,0.5766523447036743
42,9,SNN,train,0.36784575684865317,0.86475,0.20911871735254922,3.761412527412176,
42,9,SNN,test,0.4866665251255035,0.824,0.21205097663402558,0.0,
42,10,ANN,train,0.3516895299752553,0.8763333333333333,,0.8602436948567629,
42,10,ANN,test,0.42665941834449767,0.85,,0.0,0.33557031202316284
42,10,CNN,train,0.3050908453464508,0.888,,1.0648498283699155,
42,10,CNN,test,0.34343597483634947,0.881,,0.0,0.5818242197036743
42,10,SNN,train,0.3521506556669871,0.8711666666666666,0.21281975956757862,3.5937513196840882,
42,10,SNN,test,0.4554792513847351,0.8405,0.20929160070419311,0.0,
42,11,ANN,train,0.34540769608815514,0.8760833333333333,,0.9509803960099816,
42,11,ANN,test,0.4172853639125824,0.8505,,0.0,0.338328125
42,11,CNN,train,0.2931193804740906,0.8930833333333333,,1.0845111114904284,
42,11,CNN,test,0.3569911720752716,0.8735,,0.0,0.59353125
42,11,SNN,train,0.34135351530710856,0.8730833333333333,0.20692561809221904,3.6441149013116956,
42,11,SNN,test,0.4525932538509369,0.841,0.20588496017456054,0.0,
42,12,ANN,train,0.33627401383717853,0.88075,,0.9491911949589849,
42,12,ANN,test,0.413276251077652,0.854,,0.0,0.33624609422683716
42,12,CNN,train,0.2853093667825063,0.8984166666666666,,1.0698637142777443,
42,12,CNN,test,0.33802309107780454,0.874,,0.0,0.5967343745231628
42,12,SNN,train,0.33377658343315125,0.8745,0.20676357519626617,3.610517811961472,
42,12,SNN,test,0.43697528886795045,0.844,0.21148906195163727,0.0,
42,13,ANN,train,0.32309658777713773,0.8884166666666666,,0.8367709470912814,
42,13,ANN,test,0.4409832537174225,0.845,,0.0,0.3439804685115814
42,13,CNN,train,0.27641301771004995,0.8999166666666667,,1.2504022382199764,
42,13,CNN,test,0.3489552021026611,0.875,,0.0,0.5938359379768372
42,13,SNN,train,0.323635221640269,0.8801666666666667,0.207814355413119,4.236043365672231,
42,13,SNN,test,0.4518663086891174,0.844,0.2043843755722046,0.0,
42,14,ANN,train,0.315976544936498,0.8883333333333333,,1.204761833883822,
42,14,ANN,test,0.41574398446083066,0.841,,0.0,0.34765234422683716
42,14,CNN,train,0.2670470639069875,0.9018333333333334,,1.3576213521882892,
42,14,CNN,test,0.3250872578620911,0.8895,,0.0,0.6003789067268371
42,14,SNN,train,0.3266037171681722,0.8781666666666667,0.20548948526382446,4.439225158654153,
42,14,SNN,test,0.47150931000709534,0.829,0.2082876945734024,0.0,
42,15,ANN,train,0.30826861119270327,0.8921666666666667,,0.9931824645027518,
42,15,ANN,test,0.40434785437583926,0.8545,,0.0,0.34344921922683713
42,15,CNN,train,0.247091818968455,0.9081666666666667,,1.1279256753623486,
42,15,CNN,test,0.3257441666126251,0.882,,0.0,0.5922851572036744
42,15,SNN,train,0.3081953907807668,0.88475,0.20712532516320548,3.889709774404764,
42,15,SNN,test,0.48287438344955447,0.841,0.21792695343494414,0.0,
